Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
976668487,MBTK5,05/28/2025 07:32:44 -05:00,05/28/2025 10:11:27 -05:00,109165.000000000,107275.000000000,2.34000,-189.000000000,1,Long,05/28/2025 00:00:00 -05:00,02:38:42.9625260
976668473,MESM5,05/28/2025 08:50:05 -05:00,05/28/2025 10:11:27 -05:00,5937.500000000,5918.750000000,0.74000,-93.750000000,1,Long,05/28/2025 00:00:00 -05:00,01:21:21.9703860
976668474,MESM5,05/28/2025 08:56:06 -05:00,05/28/2025 10:11:27 -05:00,5933.750000000,5918.750000000,0.74000,-75.000000000,1,Long,05/28/2025 00:00:00 -05:00,01:15:20.5304210
1112419683,MBTN5,07/09/2025 09:35:58 -05:00,07/09/2025 15:10:32 -05:00,109045.000000000,111765.000000000,2.34000,272.000000000,1,Long,07/09/2025 00:00:00 -05:00,05:34:34.3522340
1206397681,MBTQ5,08/05/2025 17:01:09 -05:00,08/06/2025 15:10:49 -05:00,114025.000000000,115765.000000000,2.34000,174.000000000,1,Long,08/06/2025 00:00:00 -05:00,22:09:40.5762560
1206397682,MBTQ5,08/06/2025 10:37:58 -05:00,08/06/2025 15:10:49 -05:00,115890.000000000,115765.000000000,2.34000,-12.500000000,1,Long,08/06/2025 00:00:00 -05:00,04:32:51.3160830
1170751283,ESU5,07/28/2025 10:19:20 -05:00,07/28/2025 10:22:54 -05:00,6420.000000000,6420.250000000,2.80000,12.500000000,1,Long,07/28/2025 00:00:00 -05:00,00:03:34.1044100
983093048,MBTK5,05/28/2025 17:17:22 -05:00,05/29/2025 15:10:38 -05:00,107355.000000000,105900.000000000,2.34000,-145.500000000,1,Long,05/29/2025 00:00:00 -05:00,21:53:15.4264480
1170769413,MESU5,07/28/2025 10:20:02 -05:00,07/28/2025 10:24:34 -05:00,6420.000000000,6422.000000000,0.74000,10.000000000,1,Long,07/28/2025 00:00:00 -05:00,00:04:31.6532360
1090546751,MESU5,07/02/2025 08:55:51 -05:00,07/02/2025 09:14:51 -05:00,6245.750000000,6251.250000000,0.74000,-27.500000000,1,Short,07/02/2025 00:00:00 -05:00,00:19:00.1241610
1083104274,MBTN5,06/30/2025 06:58:25 -05:00,06/30/2025 15:10:26 -05:00,108235.000000000,108140.000000000,2.34000,-9.500000000,1,Long,06/30/2025 00:00:00 -05:00,08:12:01.1691430
932715476,MBTK5,05/13/2025 17:11:16 -05:00,05/14/2025 15:10:33 -05:00,104740.000000000,103705.000000000,2.34000,-103.500000000,1,Long,05/14/2025 00:00:00 -05:00,21:59:16.2576520
932715484,MBTK5,05/13/2025 17:11:19 -05:00,05/14/2025 15:10:33 -05:00,104755.000000000,103705.000000000,2.34000,-105.000000000,1,Long,05/14/2025 00:00:00 -05:00,21:59:13.8349870
1102778906,MESU5,07/07/2025 11:21:25 -05:00,07/07/2025 15:10:30 -05:00,6268.000000000,6268.250000000,0.74000,1.250000000,1,Long,07/07/2025 00:00:00 -05:00,03:49:05.1573620
1102778920,MESU5,07/07/2025 11:21:29 -05:00,07/07/2025 15:10:30 -05:00,6267.500000000,6268.250000000,0.74000,3.750000000,1,Long,07/07/2025 00:00:00 -05:00,03:49:01.6624830
1290989718,MESU5,08/29/2025 08:54:46 -05:00,08/29/2025 09:21:42 -05:00,6486.000000000,6470.750000000,0.74000,-76.250000000,1,Long,08/29/2025 00:00:00 -05:00,00:26:56.0502070
957263586,MBTK5,05/21/2025 00:16:55 -05:00,05/21/2025 13:00:07 -05:00,107920.000000000,106850.000000000,2.34000,-107.000000000,1,Long,05/21/2025 00:00:00 -05:00,12:43:12.2361480
957263587,MBTK5,05/21/2025 09:30:24 -05:00,05/21/2025 13:00:07 -05:00,107740.000000000,106850.000000000,2.34000,-89.000000000,1,Long,05/21/2025 00:00:00 -05:00,03:29:43.0616660
922221792,MBTK5,05/12/2025 09:20:49 -05:00,05/12/2025 15:10:32 -05:00,104405.000000000,102090.000000000,2.34000,-231.500000000,1,Long,05/12/2025 00:00:00 -05:00,05:49:42.2217030
922221808,MBTK5,05/12/2025 10:04:46 -05:00,05/12/2025 15:10:32 -05:00,102765.000000000,102090.000000000,2.34000,-67.500000000,1,Long,05/12/2025 00:00:00 -05:00,05:05:45.1064060
1291114052,MESU5,08/29/2025 08:56:19 -05:00,08/29/2025 09:29:50 -05:00,6478.500000000,6470.250000000,0.74000,-41.250000000,1,Long,08/29/2025 00:00:00 -05:00,00:33:31.1642230
957344743,MESM5,05/21/2025 13:00:46 -05:00,05/21/2025 13:13:09 -05:00,5885.250000000,5880.000000000,0.74000,26.250000000,1,Short,05/21/2025 00:00:00 -05:00,00:12:23.0638810
957344744,MESM5,05/21/2025 13:07:08 -05:00,05/21/2025 13:13:09 -05:00,5892.250000000,5880.000000000,0.74000,61.250000000,1,Short,05/21/2025 00:00:00 -05:00,00:06:01.3038090
957367889,MESM5,05/21/2025 13:16:25 -05:00,05/21/2025 13:18:14 -05:00,5884.750000000,5881.500000000,0.74000,16.250000000,1,Short,05/21/2025 00:00:00 -05:00,00:01:49.1531950
1291168522,MESU5,08/29/2025 09:12:10 -05:00,08/29/2025 09:33:19 -05:00,6463.750000000,6472.500000000,0.74000,43.750000000,1,Long,08/29/2025 00:00:00 -05:00,00:21:08.3614010
1291168523,MESU5,08/29/2025 09:15:43 -05:00,08/29/2025 09:33:19 -05:00,6463.250000000,6472.500000000,0.74000,46.250000000,1,Long,08/29/2025 00:00:00 -05:00,00:17:36.2263050
1291168524,MESU5,08/29/2025 09:27:03 -05:00,08/29/2025 09:33:19 -05:00,6464.250000000,6472.500000000,0.74000,41.250000000,1,Long,08/29/2025 00:00:00 -05:00,00:06:15.5340310
957374458,ESM5,05/21/2025 13:18:13 -05:00,05/21/2025 13:20:11 -05:00,5881.500000000,5879.750000000,2.80000,87.500000000,1,Short,05/21/2025 00:00:00 -05:00,00:01:58.6223750
1064797989,MESU5,06/24/2025 11:10:50 -05:00,06/24/2025 12:56:55 -05:00,6138.750000000,6148.250000000,0.74000,-47.500000000,1,Short,06/24/2025 00:00:00 -05:00,01:46:05.5155400
1064798207,MBTM5,06/24/2025 11:31:26 -05:00,06/24/2025 12:57:01 -05:00,105585.000000000,106160.000000000,2.34000,-57.500000000,1,Short,06/24/2025 00:00:00 -05:00,01:25:35.2949150
997051261,MBTM5,06/02/2025 17:05:10 -05:00,06/03/2025 15:10:29 -05:00,105840.000000000,106665.000000000,2.34000,82.500000000,1,Long,06/03/2025 00:00:00 -05:00,22:05:18.9573650
1001822173,MBTM5,06/03/2025 17:06:02 -05:00,06/04/2025 15:10:29 -05:00,106180.000000000,105380.000000000,2.34000,-80.000000000,1,Long,06/04/2025 00:00:00 -05:00,22:04:26.8450910
1113519233,MBTN5,07/09/2025 21:10:13 -05:00,07/10/2025 05:25:28 -05:00,111855.000000000,111440.000000000,2.34000,-41.500000000,1,Long,07/10/2025 00:00:00 -05:00,08:15:15.1595100
1006681942,MBTM5,06/04/2025 19:27:20 -05:00,06/05/2025 15:10:29 -05:00,105310.000000000,102065.000000000,2.34000,-324.500000000,1,Long,06/05/2025 00:00:00 -05:00,19:43:09.3008320
1006681965,MBTM5,06/05/2025 12:35:36 -05:00,06/05/2025 15:10:29 -05:00,103715.000000000,102065.000000000,2.34000,-165.000000000,1,Long,06/05/2025 00:00:00 -05:00,02:34:52.3739650
1007375718,MBTM5,06/05/2025 17:01:33 -05:00,06/05/2025 23:28:49 -05:00,101570.000000000,102870.000000000,2.34000,130.000000000,1,Long,06/06/2025 00:00:00 -05:00,06:27:16.7585570
1185282497,MESU5,07/31/2025 12:07:21 -05:00,07/31/2025 15:10:32 -05:00,6427.000000000,6368.750000000,0.74000,-291.250000000,1,Long,07/31/2025 00:00:00 -05:00,03:03:10.7679060
1008008177,MBTM5,06/05/2025 17:01:34 -05:00,06/06/2025 07:28:57 -05:00,101570.000000000,104375.000000000,2.34000,280.500000000,1,Long,06/06/2025 00:00:00 -05:00,14:27:22.3884080
1008837243,MESM5,06/06/2025 08:55:09 -05:00,06/06/2025 08:57:21 -05:00,6019.000000000,6015.250000000,0.74000,-18.750000000,1,Long,06/06/2025 00:00:00 -05:00,00:02:11.8530510
1008845787,MESM5,06/06/2025 08:56:30 -05:00,06/06/2025 08:57:45 -05:00,6013.500000000,6016.750000000,0.74000,16.250000000,1,Long,06/06/2025 00:00:00 -05:00,00:01:14.7923820
